WKT;route_short_name;route_long_name;direction_id;trip_headsign;headsign;trip_id;stop_sequence;stop_name
"MULTIPOINT (-118.4454548 34.0627881)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;6;Westwood Sb & Weyburn Ns
"MULTIPOINT (-118.444879 34.0598913)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;7;Westwood Sb & Lindbrook Ns
"MULTIPOINT (-118.447519 34.0579795)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;8;Wilshire Wb & Veteran Ns
"MULTIPOINT (-118.4556903 34.0546126)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;9;Wilshire Wb & Bonsall Ns
"MULTIPOINT (-118.4596499 34.0507899)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;10;Wilshire Wb & San Vicente Fs
"MULTIPOINT (-118.4611839 34.0494802)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;11;Wilshire Wb & Barrington Fs
"MULTIPOINT (-118.4634652 34.0475339)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;12;Wilshire Wb & Westgate Ns
"MULTIPOINT (-118.4650511 34.0461652)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;13;Wilshire Wb & Brockton Ns
"MULTIPOINT (-118.4673454 34.0443958)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;14;Wilshire Wb & Bundy Ns
"MULTIPOINT (-118.4703039 34.04199)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;15;Wilshire Wb & Carmelina Ns
"MULTIPOINT (-118.4727383 34.0399875)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;16;Wilshire Wb & Berkeley Ns
"MULTIPOINT (-118.4745568 34.0383615)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;17;Wilshire Wb & Yale Ns
"MULTIPOINT (-118.47733340000001 34.0362983)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;18;Wilshire Wb & 26Th Ns
"MULTIPOINT (-118.4798122 34.0342585)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;19;Wilshire Wb & 24Th Ns
"MULTIPOINT (-118.48145340000001 34.0329082)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;20;Wilshire Wb & 22Nd Ns
"MULTIPOINT (-118.4831543 34.0316234)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;21;Wilshire Wb & 20Th Ns
"MULTIPOINT (-118.4850667 34.0300781)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;22;Wilshire Wb & 18Th Ns
"MULTIPOINT (-118.4868737 34.0285887)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;23;Wilshire Wb & 16Th Ns
"MULTIPOINT (-118.4888096 34.0270338)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;24;Wilshire Wb & 14Th Ns
"MULTIPOINT (-118.4920139 34.0243989)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;25;Wilshire Wb & 11Th Fs
"MULTIPOINT (-118.4944832 34.0224358)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;26;Wilshire Wb & Lincoln Ns
"MULTIPOINT (-118.4963607 34.0208432)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;27;Wilshire Wb & 6Th Ns
